iter	Logloss
0	0.554815209
1	0.4741623358
2	0.4184248538
3	0.3834607226
4	0.3614444477
5	0.3433355802
6	0.3313923505
7	0.3206450469
8	0.313759737
9	0.3071402093
10	0.3015099347
11	0.2971506464
12	0.29380812
13	0.2905119616
14	0.2877273504
15	0.2849891381
16	0.2832913129
17	0.2817849015
18	0.2779982013
19	0.2757596921
20	0.2739736805
21	0.2727377246
22	0.2705035645
23	0.2690907409
24	0.2669684522
25	0.2657890104
26	0.2647093055
27	0.263053773
28	0.2609287737
29	0.2600138847
30	0.2581660127
31	0.2570567336
32	0.2555272308
33	0.2534491896
34	0.2530163268
35	0.2483206046
36	0.24680426
37	0.2453351592
38	0.242957598
39	0.242210439
40	0.2407977281
41	0.2381583252
42	0.2357302397
43	0.2331506609
44	0.2313198013
45	0.2308100786
46	0.2290567535
47	0.2280365152
48	0.2264248787
49	0.2253220347
50	0.2239610451
51	0.2230780545
52	0.2213528147
53	0.2200572803
54	0.2181206979
55	0.2171037972
56	0.2169653138
57	0.2168344791
58	0.215032654
59	0.2128460159
60	0.2118513925
61	0.2105719065
62	0.2087411847
63	0.2086216261
64	0.2078375969
65	0.2070852175
66	0.205834898
67	0.2040035812
68	0.2032466312
69	0.2017951324
70	0.2000051243
71	0.1981833006
72	0.1978116499
73	0.1972769308
74	0.1971568751
75	0.1970739421
76	0.196390194
77	0.194678217
78	0.193905459
79	0.1925183893
80	0.1917929094
81	0.1910151083
82	0.1903901883
83	0.1896949992
84	0.1893365496
85	0.1880394131
86	0.187583935
87	0.1869565099
88	0.1864115651
89	0.1859052844
90	0.1853124039
91	0.1843190051
92	0.1829037578
93	0.1823257854
94	0.1821780771
95	0.1820651582
96	0.1819654197
97	0.1817652687
98	0.1815504935
99	0.1796347372
