iter	Passed	Remaining
0	2	221
1	4	242
2	21	679
3	28	688
4	36	686
5	42	662
6	48	650
7	56	646
8	62	628
9	64	580
10	66	539
11	68	504
12	71	475
13	83	512
14	85	487
15	87	460
16	89	436
17	91	414
18	93	397
19	94	379
20	96	363
21	99	352
22	101	338
23	102	326
24	105	316
25	107	305
26	109	295
27	111	286
28	113	278
29	115	269
30	117	260
31	119	253
32	120	245
33	122	237
34	124	231
35	126	224
36	127	217
37	129	211
38	131	206
39	133	200
40	134	194
41	136	188
42	138	183
43	140	178
44	141	173
45	143	168
46	145	163
47	146	158
48	148	154
49	149	149
50	151	145
51	153	141
52	154	137
53	156	133
54	158	129
55	160	125
56	161	122
57	163	118
58	165	114
59	166	111
60	168	107
61	169	104
62	172	101
63	173	97
64	175	94
65	177	91
66	179	88
67	181	85
68	182	82
69	184	79
70	186	76
71	187	73
72	189	70
73	191	67
74	192	64
75	194	61
76	196	58
77	198	55
78	199	53
79	201	50
80	202	47
81	204	44
82	206	42
83	207	39
84	209	36
85	211	34
86	212	31
87	214	29
88	215	26
89	217	24
90	219	21
91	220	19
92	222	16
93	224	14
94	226	11
95	227	9
96	229	7
97	231	4
98	233	2
99	234	0
